TD_NG,trial-02_18.coll.txt	Feb,29,2016,14:11:41
TD_NG,trial-02_19.coll.txt	Feb,29,2016,14:11:59
TD_NG,trial-02_20.coll.txt	Feb,29,2016,14:12:18
TD_NG,trial-02_21.coll.txt	Feb,29,2016,14:12:37
TD_NG,trial-02_22.coll.txt	Feb,29,2016,14:12:55
TD_NG,trial-02_23.coll.txt	Feb,29,2016,14:13:13
TD_NG,trial-02_24.coll.txt	Feb,29,2016,14:13:32
TD_NG,trial-02_25.coll.txt	Feb,29,2016,14:13:51
TD_NG,trial-02_26.coll.txt	Feb,29,2016,14:14:09
TD_NG,trial-02_27.coll.txt	Feb,29,2016,14:14:28
TD_NG,trial-02_28.coll.txt	Feb,29,2016,14:14:46
TD_NG,trial-02_29.coll.txt	Feb,29,2016,14:15:05
TD_NG,trial-02_30.coll.txt	Feb,29,2016,14:15:24
TD_NG,trial-02_31.coll.txt	Feb,29,2016,14:15:43
TD_NG,trial-02_32.coll.txt	Feb,29,2016,14:16:01
TD_NG,trial-02_33.coll.txt	Feb,29,2016,14:16:20
TD_NG,trial-02_34.coll.txt	Feb,29,2016,14:16:38
TD_NG,trial-02_35.coll.txt	Feb,29,2016,14:16:56
TD_NG,trial-02_36.coll.txt	Feb,29,2016,14:17:15
TD_NG,trial-02_37.coll.txt	Feb,29,2016,14:17:34
TD_NG,trial-02_38.coll.txt	Feb,29,2016,14:17:53
TD_NG,trial-02_39.coll.txt	Feb,29,2016,14:18:11
TD_NG,trial-02_40.coll.txt	Feb,29,2016,14:18:30
TD_NG,trial-02_41.coll.txt	Feb,29,2016,14:18:49
TD_NG,trial-02_42.coll.txt	Feb,29,2016,14:19:07
TD_NG,trial-02_43.coll.txt	Feb,29,2016,14:19:26
TD_NG,trial-02_44.coll.txt	Feb,29,2016,14:19:44
TD_NG,trial-02_45.coll.txt	Feb,29,2016,14:20:03
TD_NG,trial-02_46.coll.txt	Feb,29,2016,14:20:21
TD_NG,trial-02_47.coll.txt	Feb,29,2016,14:20:39
TD_NG,trial-02_48.coll.txt	Feb,29,2016,14:20:58
TD_NG,trial-02_49.coll.txt	Feb,29,2016,14:21:16
TD_NG,trial-02_50.coll.txt	Feb,29,2016,14:21:35
TD_NG,trial-04_-2.coll.txt	Feb,29,2016,14:24:13
TD_NG,trial-04_-1.coll.txt	Feb,29,2016,14:24:32
TD_NG,trial-04_01.coll.txt	Feb,29,2016,14:24:50
TD_NG,trial-04_02.coll.txt	Feb,29,2016,14:25:08
TD_NG,trial-04_03.coll.txt	Feb,29,2016,14:25:26
TD_NG,trial-04_04.coll.txt	Feb,29,2016,14:25:45
